time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1648633615, 12, 4, 14200, 14, 603514, 65.24, 65.20
1648633629, 12, 4, 14200, 14, 164890, 68.17, 69.60
1648633644, 12, 4, 14200, 14, 225153, 71.58, 71.50
1648633658, 12, 4, 14200, 14, 466564, 73.52, 73.50
1648633673, 12, 4, 14200, 14, 924247, 75.47, 75.40
1648633688, 12, 4, 14200, 14, 676450, 76.93, 76.40
1648633702, 12, 4, 14200, 14, 441396, 77.91, 77.90
1648633717, 12, 4, 14200, 15, 176947, 76.93, 76.90
1648633733, 12, 4, 14200, 15, 348695, 78.88, 78.80
1648633748, 12, 4, 14200, 15, 379792, 79.37, 79.30
